countrycode,countryname,adminone,adminlevel,date,datatype,indicator name,population,prevalence
#country+code,#country+name,#adm1+name,#meta+adminlevel,#date,#data+type,#indicator+name,#population,#indicator+prevalence
YEM,Yemen,,national,2024-09-07,SURVEY,fcs,21566487,0.6312630056385623
YEM,Yemen,,national,2024-09-07,SURVEY,rcsi,18255168,0.5343388665996879
YEM,Yemen,,national,2024-09-06,SURVEY,fcs,21857787,0.6397894549721282
YEM,Yemen,,national,2024-09-06,SURVEY,rcsi,18382533,0.53806691061136
YEM,Yemen,,national,2024-09-05,SURVEY,fcs,21801417,0.638139495211023
YEM,Yemen,,national,2024-09-05,SURVEY,rcsi,18383791,0.5381037329673187
YEM,Yemen,,national,2024-09-04,SURVEY,fcs,21791969,0.6378629258890443
YEM,Yemen,,national,2024-09-04,SURVEY,rcsi,18330208,0.536535328913792
YEM,Yemen,,national,2024-09-03,SURVEY,fcs,21695150,0.6350289804744904
YEM,Yemen,,national,2024-09-03,SURVEY,rcsi,18361954,0.5374645518965152
YEM,Yemen,,national,2024-09-02,SURVEY,fcs,21726068,0.6359339673502811
YEM,Yemen,,national,2024-09-02,SURVEY,rcsi,18461911,0.5403903485853601
YEM,Yemen,,national,2024-09-01,SURVEY,fcs,21681676,0.6346345890790442
YEM,Yemen,,national,2024-09-01,SURVEY,rcsi,18471871,0.5406818832954943
YEM,Yemen,,national,2024-08-31,SURVEY,fcs,21647222,0.6336261149390261
YEM,Yemen,,national,2024-08-31,SURVEY,rcsi,18370487,0.5377143175271956
YEM,Yemen,,national,2024-08-30,SURVEY,fcs,21689319,0.6348583662324595
YEM,Yemen,,national,2024-08-30,SURVEY,rcsi,18302248,0.5357169242455837
YEM,Yemen,,national,2024-08-29,SURVEY,fcs,21804816,0.6382390273184415
YEM,Yemen,,national,2024-08-29,SURVEY,rcsi,18235600,0.533766100414155
YEM,Yemen,,national,2024-08-28,SURVEY,fcs,21754528,0.6367670832060495
YEM,Yemen,,national,2024-08-28,SURVEY,rcsi,18136791,0.530873906320414
YEM,Yemen,,national,2024-08-27,SURVEY,fcs,21727445,0.6359743353447668
YEM,Yemen,,national,2024-08-27,SURVEY,rcsi,17989785,0.5265709593728234
YEM,Yemen,,national,2024-08-26,SURVEY,fcs,21830175,0.6389812864469767
YEM,Yemen,,national,2024-08-26,SURVEY,rcsi,17942904,0.5251987265670196
YEM,Yemen,,national,2024-08-25,SURVEY,fcs,21860421,0.639866643759996
YEM,Yemen,,national,2024-08-25,SURVEY,rcsi,17800210,0.5210219942449409
YEM,Yemen,,national,2024-08-24,SURVEY,fcs,21889305,0.6407120670899813
YEM,Yemen,,national,2024-08-24,SURVEY,rcsi,17766999,0.5200498899017411
YEM,Yemen,,national,2024-08-23,SURVEY,fcs,21878541,0.6403969988550531
YEM,Yemen,,national,2024-08-23,SURVEY,rcsi,17724739,0.5188129163223961
YEM,Yemen,,national,2024-08-22,SURVEY,fcs,21915125,0.6414678566190365
YEM,Yemen,,national,2024-08-22,SURVEY,rcsi,17770118,0.520141184757254
YEM,Yemen,,national,2024-08-21,SURVEY,fcs,21814006,0.6385080626633071
YEM,Yemen,,national,2024-08-21,SURVEY,rcsi,17689943,0.5177944181523326
YEM,Yemen,,national,2024-08-20,SURVEY,fcs,21698200,0.6351183180156625
YEM,Yemen,,national,2024-08-20,SURVEY,rcsi,17622692,0.5158259441773083
YEM,Yemen,,national,2024-08-19,SURVEY,fcs,21670148,0.6342972204565575
YEM,Yemen,,national,2024-08-19,SURVEY,rcsi,17653494,0.516727535757786
YEM,Yemen,,national,2024-08-18,SURVEY,fcs,21623817,0.6329411074448898
YEM,Yemen,,national,2024-08-18,SURVEY,rcsi,17693873,0.5179094514265121
YEM,Yemen,,national,2024-08-17,SURVEY,fcs,21678683,0.6345470446283442
YEM,Yemen,,national,2024-08-17,SURVEY,rcsi,17693945,0.5179115589063444
YEM,Yemen,,national,2024-08-16,SURVEY,fcs,21719763,0.635749478954882
YEM,Yemen,,national,2024-08-16,SURVEY,rcsi,17643090,0.5164230049220191
YEM,Yemen,,national,2024-08-15,SURVEY,fcs,21758503,0.6368834201868703
YEM,Yemen,,national,2024-08-15,SURVEY,rcsi,17704023,0.5182065475417594
YEM,Yemen,,national,2024-08-14,SURVEY,fcs,21867144,0.6400634023599325
YEM,Yemen,,national,2024-08-14,SURVEY,rcsi,17724481,0.5188053645196636
YEM,Yemen,,national,2024-08-13,SURVEY,fcs,21901169,0.6410593329334587
YEM,Yemen,,national,2024-08-13,SURVEY,rcsi,17627982,0.5159807854038756
YEM,Yemen,,national,2024-08-12,SURVEY,fcs,21962329,0.6428495199687811
YEM,Yemen,,national,2024-08-12,SURVEY,rcsi,17631508,0.5160839933745517
YEM,Yemen,,national,2024-08-11,SURVEY,fcs,22004044,0.6440706043382515
YEM,Yemen,,national,2024-08-11,SURVEY,rcsi,17481899,0.511704855176913
YEM,Yemen,,national,2024-08-10,SURVEY,fcs,22065974,0.6458832664579247
YEM,Yemen,,national,2024-08-10,SURVEY,rcsi,17539684,0.5133962540950967
YEM,Yemen,,national,2024-08-09,SURVEY,fcs,22038380,0.6450755748121972
YEM,Yemen,,national,2024-08-09,SURVEY,rcsi,17568872,0.514250603002667
YEM,Yemen,,national,2024-08-08,SURVEY,fcs,21897109,0.6409405458220514
YEM,Yemen,,national,2024-08-08,SURVEY,rcsi,17439017,0.5104496753134613
YEM,Yemen,,national,2024-08-07,SURVEY,fcs,21776754,0.637417637053804
YEM,Yemen,,national,2024-08-07,SURVEY,rcsi,17493343,0.5120398273880351
YEM,Yemen,,national,2024-08-06,SURVEY,fcs,21684740,0.6347243363692361
YEM,Yemen,,national,2024-08-06,SURVEY,rcsi,17319921,0.5069636695064177
YEM,Yemen,,national,2024-08-05,SURVEY,fcs,21660070,0.6340022452309173
YEM,Yemen,,national,2024-08-05,SURVEY,rcsi,17315776,0.5068423430632946
YEM,Yemen,,national,2024-08-04,SURVEY,fcs,21623441,0.6329301017165117
YEM,Yemen,,national,2024-08-04,SURVEY,rcsi,17364707,0.5082745805032123
YEM,Yemen,,national,2024-08-03,SURVEY,fcs,21683705,0.6346940413466469
YEM,Yemen,,national,2024-08-03,SURVEY,rcsi,17366439,0.5083252771014003
YEM,Yemen,,national,2024-08-02,SURVEY,fcs,21635789,0.6332914925167725
YEM,Yemen,,national,2024-08-02,SURVEY,rcsi,17423987,0.5100097388984695
YEM,Yemen,,national,2024-08-01,SURVEY,fcs,21572007,0.6314245790923717
YEM,Yemen,,national,2024-08-01,SURVEY,rcsi,17392587,0.5090906435271626
YEM,Yemen,,national,2024-07-31,SURVEY,fcs,21562923,0.6311587496024659
YEM,Yemen,,national,2024-07-31,SURVEY,rcsi,17402588,0.5093833783299792
YEM,Yemen,,national,2024-07-30,SURVEY,fcs,21534678,0.6303319841061059
YEM,Yemen,,national,2024-07-30,SURVEY,rcsi,17374825,0.5085707399607564
YEM,Yemen,,national,2024-07-29,SURVEY,fcs,21473077,0.6285288106452591
YEM,Yemen,,national,2024-07-29,SURVEY,rcsi,17390300,0.5090237017719339
YEM,Yemen,,national,2024-07-28,SURVEY,fcs,21328474,0.6242962351652358
YEM,Yemen,,national,2024-07-28,SURVEY,rcsi,17434010,0.510303117653457
YEM,Yemen,,national,2024-07-27,SURVEY,fcs,21263036,0.6223808269914777
YEM,Yemen,,national,2024-07-27,SURVEY,rcsi,17416681,0.5097958882365978
YEM,Yemen,,national,2024-07-26,SURVEY,fcs,21187131,0.6201590665694362
